Algorithm,N,k,Alphabet Size,Total Time,Preprocessing Time
0,100000,100,256,0.004055,0.003443
0,100000,1000,256,0.024490,0.002669
0,100000,10000,256,0.941980,0.002211
0,1000000,100,256,0.020833,0.020354
0,1000000,1000,256,0.040072,0.019886
0,1000000,10000,256,1.421273,0.018940
0,1000000,100000,256,91.216103,0.018457
0,10000000,100,256,0.560465,0.559784
0,10000000,1000,256,0.262844,0.241758
0,10000000,10000,256,2.138391,0.244365
0,10000000,100000,256,null,null
0,100000000,100,256,error,error
0,100000000,1000,256,error,error
0,100000000,10000,256,error,error
0,100000000,100000,256,error,error
1,100000,100,256,0.001619,0.001088
1,100000,1000,256,0.020787,0.000978
1,100000,10000,256,1.031710,0.000971
1,1000000,100,256,0.013870,0.011536
1,1000000,1000,256,0.034073,0.010017
1,1000000,10000,256,1.753532,0.011436
1,1000000,100000,256,102.475812,0.009845
1,10000000,100,256,0.228084,0.200101
1,10000000,1000,256,0.237346,0.191522
1,10000000,10000,256,2.248011,0.192534
1,10000000,100000,256,null,null
1,100000000,100,256,6.905006,6.195243
1,100000000,1000,256,7.046371,6.276220
1,100000000,10000,256,9.830542,5.845919
1,100000000,100000,256,null,null
2,100000,100,256,0.256851,0.256386
2,100000,1000,256,0.166981,0.147671
2,100000,10000,256,1.320699,0.060203
2,1000000,100,256,3.429561,3.428536
2,1000000,1000,256,2.427651,2.406963
2,1000000,10000,256,2.835942,1.395628
2,1000000,100000,256,107.418777,0.619422
2,10000000,100,256,53.403255,53.391202
2,10000000,1000,256,41.100896,41.069520
2,10000000,10000,256,31.504320,29.694002
2,10000000,100000,256,null,null
2,100000000,100,256,null,null
2,100000000,1000,256,null,null
2,100000000,10000,256,null,null
2,100000000,100000,256,null,null
3,100000,100,256,0.004392,0.004001
3,100000,1000,256,0.015860,0.004483
3,100000,10000,256,0.515969,0.003885
3,1000000,100,256,0.041455,0.041014
3,1000000,1000,256,0.054105,0.042287
3,1000000,10000,256,0.775902,0.040692
3,1000000,100000,256,49.445297,0.040926
3,10000000,100,256,0.532519,0.531876
3,10000000,1000,256,0.544017,0.527181
3,10000000,10000,256,1.534348,0.515960
3,10000000,100000,256,149.321250,0.515796
3,100000000,100,256,error,error
3,100000000,1000,256,error,error
3,100000000,10000,256,error,error
3,100000000,100000,256,error,error
4,100000,100,256,0.002331,0.001914
4,100000,1000,256,0.015384,0.002286
4,100000,10000,256,0.583626,0.002751
4,1000000,100,256,0.024635,0.022747
4,1000000,1000,256,0.038192,0.023144
4,1000000,10000,256,0.927175,0.025612
4,1000000,100000,256,54.279349,0.027986
4,10000000,100,256,0.507354,0.463096
4,10000000,1000,256,0.520219,0.461341
4,10000000,10000,256,1.678939,0.444993
4,10000000,100000,256,154.724982,0.413093
4,100000000,100,256,23.529201,22.018829
4,100000000,1000,256,23.378438,20.780406
4,100000000,10000,256,30.595855,21.629074
4,100000000,100000,256,null,null
5,100000,100,256,0.499693,0.499354
5,100000,1000,256,0.301674,0.283074
5,100000,10000,256,0.691086,0.118668
5,1000000,100,256,6.996749,6.996434
5,1000000,1000,256,5.021118,5.007447
5,1000000,10000,256,3.914393,3.073886
5,1000000,100000,256,55.115503,1.491247
5,10000000,100,256,119.783314,119.782965
5,10000000,1000,256,95.517403,95.503324
5,10000000,10000,256,69.312563,68.112574
5,10000000,100000,256,167.190363,39.093016
5,100000000,100,256,null,null
5,100000000,1000,256,null,null
5,100000000,10000,256,null,null
5,100000000,100000,256,null,null
6,100000,100,256,0.004798,0.004478
6,100000,1000,256,0.016061,0.004232
6,100000,10000,256,0.846746,0.004818
6,1000000,100,256,0.041303,0.040910
6,1000000,1000,256,0.056763,0.041947
6,1000000,10000,256,1.298389,0.040724
6,1000000,100000,256,88.826351,0.049955
6,10000000,100,256,0.641153,0.640480
6,10000000,1000,256,0.645435,0.622851
6,10000000,10000,256,2.086962,0.591258
6,10000000,100000,256,263.542969,1.445634
6,100000000,100,256,error,error
6,100000000,1000,256,error,error
6,100000000,10000,256,error,error
6,100000000,100000,256,error,error
7,100000,100,256,0.002335,0.001977
7,100000,1000,256,0.014784,0.002006
7,100000,10000,256,0.935280,0.002247
7,1000000,100,256,0.026179,0.024225
7,1000000,1000,256,0.040462,0.024218
7,1000000,10000,256,1.451473,0.021868
7,1000000,100000,256,99.349341,0.027119
7,10000000,100,256,0.572154,0.522543
7,10000000,1000,256,0.570950,0.499312
7,10000000,10000,256,2.249303,0.512307
7,10000000,100000,256,null,null
7,100000000,100,256,24.294267,21.538492
7,100000000,1000,256,25.096577,21.085023
7,100000000,10000,256,34.434500,21.743477
7,100000000,100000,256,278.710980,0.407162
8,100000,100,256,0.578855,0.578563
8,100000,1000,256,0.388527,0.370798
8,100000,10000,256,1.089669,0.165456
8,1000000,100,256,9.549196,9.548871
8,1000000,1000,256,6.639360,6.620070
8,1000000,10000,256,4.152915,2.994507
8,1000000,100000,256,99.076675,1.654354
8,10000000,100,256,137.729544,137.729198
8,10000000,1000,256,104.722657,104.703521
8,10000000,10000,256,59.592979,57.960367
8,10000000,100000,256,290.672374,33.972792
8,100000000,100,256,null,null
8,100000000,1000,256,null,null
8,100000000,10000,256,null,null
8,100000000,100000,256,null,null
9,100000,100,256,0.002383,0.001968
9,100000,1000,256,0.034808,0.002062
9,100000,10000,256,2.607660,0.002324
9,1000000,100,256,0.023647,0.022330
9,1000000,1000,256,0.059042,0.021587
9,1000000,10000,256,3.544045,0.023196
9,1000000,100000,256,null,null
9,10000000,100,256,0.274674,0.263233
9,10000000,1000,256,0.304374,0.254568
9,10000000,10000,256,4.300096,0.258441
9,10000000,100000,256,null,null
9,100000000,100,256,error,error
9,100000000,1000,256,error,error
9,100000000,10000,256,error,error
9,100000000,100000,256,error,error
10,100000,100,256,0.001475,0.000960
10,100000,1000,256,0.032407,0.000997
10,100000,10000,256,2.566550,0.001156
10,1000000,100,256,0.014466,0.010818
10,1000000,1000,256,0.048828,0.010657
10,1000000,10000,256,3.566812,0.011795
10,1000000,100000,256,null,null
10,10000000,100,256,0.247665,0.202676
10,10000000,1000,256,0.283565,0.199774
10,10000000,10000,256,4.227392,0.199074
10,10000000,100000,256,null,null
10,100000000,100,256,7.097158,6.898898
10,100000000,1000,256,7.173708,6.406729
10,100000000,10000,256,11.666452,6.459869
10,100000000,100000,256,null,null
11,100000,100,256,0.212307,0.211933
11,100000,1000,256,0.156168,0.126365
11,100000,10000,256,2.609575,0.060496
11,1000000,100,256,3.518104,3.515504
11,1000000,1000,256,2.441826,2.407242
11,1000000,10000,256,4.619101,1.398773
11,1000000,100000,256,null,null
11,10000000,100,256,54.698697,54.670099
11,10000000,1000,256,42.326367,42.265815
11,10000000,10000,256,33.148614,29.385156
11,10000000,100000,256,null,null
11,100000000,100,256,null,null
11,100000000,1000,256,null,null
11,100000000,10000,256,null,null
11,100000000,100000,256,null,null
12,100000,100,256,0.033650,0.000000
12,100000,1000,256,0.334491,0.000000
12,100000,10000,256,2.696238,0.000000
12,1000000,100,256,0.322262,0.000000
12,1000000,1000,256,3.404540,0.000000
12,1000000,10000,256,33.346922,0.000000
12,1000000,100000,256,null,null
12,10000000,100,256,3.264269,0.000000
12,10000000,1000,256,34.674366,0.000000
12,10000000,10000,256,null,null
12,10000000,100000,256,null,null
12,100000000,100,256,37.802679,0.000000
12,100000000,1000,256,null,null
12,100000000,10000,256,null,null
12,100000000,100000,256,null,null
